104.156.84.45  139.71ms
104.156.80.18  139.74ms
104.156.80.181  139.80ms
104.156.80.202  139.98ms
104.156.84.170  139.98ms
157.5.87.147  115.40ms
157.5.87.14  120.40ms
157.5.87.206  120.56ms
157.5.87.4  122.16ms
157.5.87.81  122.35ms
157.5.87.97  123.05ms
157.5.87.79  123.76ms
157.5.87.209  125.02ms
157.5.87.174  125.67ms
157.5.87.168  125.77ms
157.5.87.29  126.27ms
157.5.87.178  126.36ms
157.5.87.195  126.38ms
157.5.87.3  127.40ms
157.5.87.159  128.28ms
157.5.87.50  129.71ms
157.5.87.89  129.88ms
172.111.81.154  104.28ms
172.111.81.42  104.49ms
172.111.81.60  104.99ms
172.111.81.79  105.05ms
172.111.80.19  107.64ms
172.111.81.136  107.77ms
172.111.81.61  108.06ms
172.111.80.15  108.21ms
172.111.68.72  108.50ms
172.111.81.109  108.54ms
172.111.81.128  109.75ms
172.111.81.56  110.61ms
172.111.80.36  111.08ms
172.111.68.98  112.67ms
172.111.81.16  112.79ms
172.111.81.127  113.24ms
172.111.81.55  113.47ms
172.111.81.77  115.37ms
172.111.81.78  117.25ms
172.111.80.183  117.47ms
172.111.81.31  117.48ms
172.111.81.48  117.73ms
172.111.80.76  117.85ms
172.111.81.41  118.15ms
172.111.80.0  119.05ms
172.111.81.17  119.20ms
172.111.68.122  119.36ms
172.111.81.35  119.76ms
172.111.81.144  119.86ms
172.111.64.23  120.60ms
185.31.17.102  119.15ms
185.31.17.69  125.37ms
185.31.17.55  125.87ms
185.31.17.71  139.34ms
185.31.17.196  140.69ms
185.199.111.104  92.80ms
185.199.111.227  93.58ms
185.199.110.78  94.01ms
185.199.108.173  97.52ms
185.199.111.27  99.19ms
185.199.108.65  99.82ms
185.199.109.212  99.90ms
185.199.110.251  100.36ms
185.199.108.40  100.51ms
185.199.108.135  100.68ms
185.199.110.244  100.81ms
185.199.108.142  101.17ms
185.199.110.16  101.55ms
185.199.110.186  101.62ms
185.199.111.1  101.89ms
185.199.110.111  102.34ms
185.199.110.49  102.53ms
185.199.111.185  102.89ms
185.199.110.190  103.62ms
185.199.108.163  103.63ms
185.199.109.152  103.76ms
185.199.110.122  104.17ms
185.199.108.159  104.19ms
185.199.111.14  104.31ms
185.199.111.107  104.98ms
185.199.110.206  105.03ms
