104.23.116.221  134.40ms
104.23.97.200  149.53ms
104.23.125.98  195.26ms
104.23.125.242  173.07ms
104.23.100.45  179.21ms
104.23.111.174  131.42ms
104.23.139.21  188.88ms
104.23.132.48  171.37ms
104.23.115.101  135.01ms
104.23.119.238  136.01ms
104.23.121.67  183.68ms
104.23.129.126  190.43ms
104.23.108.198  181.73ms
104.23.107.14  178.87ms
104.23.108.224  119.63ms
104.23.134.36  177.16ms
104.23.118.253  180.23ms
104.23.141.238  188.70ms
104.23.97.221  178.85ms
104.23.142.160  176.04ms
104.23.105.119  117.30ms
104.23.114.103  136.82ms
104.23.141.161  166.23ms
104.23.105.79  191.31ms
104.23.143.158  184.69ms
104.23.106.231  141.80ms
104.23.136.58  185.02ms
104.23.96.246  175.67ms
104.23.142.174  189.49ms
104.23.119.151  124.33ms
104.23.118.135  138.94ms
104.23.114.239  181.04ms
104.23.139.71  181.04ms
104.23.141.206  175.81ms
104.23.107.143  146.80ms
104.23.110.170  178.92ms
104.23.106.8  143.35ms
104.23.124.174  134.40ms
104.23.137.58  191.31ms
104.23.97.201  133.51ms
104.23.143.246  167.25ms
104.23.141.237  188.95ms
104.23.104.175  138.98ms
104.23.114.180  133.65ms
104.23.100.112  166.98ms
104.23.136.132  205.92ms
104.23.133.50  171.17ms
104.23.108.164  171.21ms
104.23.132.153  182.75ms
104.23.105.215  169.75ms
104.23.108.5  135.40ms
104.23.137.26  185.77ms
104.23.134.67  175.11ms
104.23.101.8  138.69ms
104.23.103.231  133.27ms
104.23.122.0  180.39ms
104.23.112.119  145.94ms
104.23.141.17  190.13ms
104.23.113.8  141.92ms
104.23.97.92  138.23ms
104.23.98.15  184.69ms
104.23.107.92  139.58ms
104.23.113.158  178.23ms
104.23.122.220  141.25ms
104.23.128.180  192.63ms
104.23.134.162  179.63ms
104.23.131.173  181.63ms
104.23.116.188  175.73ms
104.23.100.18  179.52ms
104.23.125.203  141.40ms
104.23.110.213  144.08ms
104.23.141.156  188.05ms
104.23.105.157  182.30ms
104.23.101.56  176.11ms
104.23.127.144  138.86ms
104.23.121.227  135.80ms
104.23.128.96  182.01ms
104.23.127.207  183.06ms
104.23.111.129  176.35ms
104.23.108.165  168.47ms
104.23.105.139  178.70ms
104.23.129.38  209.40ms
104.23.115.239  140.49ms
104.23.110.136  139.15ms
104.23.133.79  174.31ms
104.23.117.48  182.63ms
104.23.131.88  192.50ms
104.23.121.6  138.63ms
104.23.120.197  137.64ms
104.23.116.120  176.12ms
104.23.134.90  182.36ms
104.23.114.67  132.30ms
104.23.107.6  180.75ms
104.23.131.174  183.75ms
104.23.126.152  179.24ms
104.23.120.184  143.72ms
104.23.138.198  179.30ms
104.23.132.40  202.30ms
104.23.131.49  186.54ms
104.23.134.19  165.97ms
104.23.123.68  176.99ms
104.23.104.182  169.88ms
104.23.110.7  134.58ms
104.23.132.177  188.28ms
104.23.139.100  185.27ms
104.23.113.47  174.20ms
104.23.119.97  133.48ms
104.23.136.158  183.34ms
104.23.140.72  184.18ms
104.23.115.162  180.96ms
104.23.122.198  141.28ms
104.23.115.113  171.73ms
104.23.109.252  133.21ms
104.23.140.34  181.87ms
104.23.101.164  179.44ms
104.23.142.8  203.51ms
104.23.129.1  164.07ms
104.23.99.254  176.37ms
104.23.96.201  161.40ms
104.23.111.53  158.05ms
104.23.128.118  182.62ms
104.23.142.175  202.27ms
104.23.124.197  140.62ms
104.23.130.34  188.75ms
104.23.118.15  183.84ms
104.23.116.17  137.90ms
104.23.115.147  140.91ms
104.23.108.135  139.25ms
104.23.124.208  177.64ms
104.23.138.16  174.39ms
104.23.110.83  143.20ms
104.23.115.218  177.46ms
104.23.135.80  195.94ms
104.23.104.197  146.81ms
104.23.118.109  140.22ms
104.23.107.86  170.94ms
104.23.136.97  184.83ms
104.23.138.110  206.92ms
104.23.97.244  174.84ms
104.23.106.17  134.56ms
104.23.125.151  143.75ms
104.23.106.53  111.12ms
104.23.97.48  175.94ms
104.23.122.126  92.45ms
104.23.121.27  186.05ms
104.23.116.43  133.77ms
104.23.130.194  135.75ms
104.23.103.209  134.52ms
104.23.101.132  174.53ms
104.23.110.32  178.08ms
104.23.97.160  178.53ms
104.23.106.120  172.75ms
104.23.129.33  179.41ms
104.23.111.247  140.88ms
104.23.125.220  140.30ms
104.23.124.176  134.34ms
104.23.133.93  173.60ms
104.23.142.70  186.16ms
104.23.129.75  182.89ms
104.23.121.29  133.34ms
104.23.124.23  139.80ms
104.23.126.117  171.08ms
104.23.115.208  132.80ms
104.23.121.142  178.91ms
104.23.127.232  135.09ms
104.23.116.243  168.08ms
104.23.134.70  182.18ms
104.23.129.177  188.13ms
104.23.114.34  179.12ms
104.23.117.123  179.64ms
104.23.108.170  141.18ms
104.23.110.119  133.13ms
104.23.124.115  172.65ms
104.23.97.134  139.09ms
104.23.118.231  145.58ms
104.23.107.217  181.73ms
104.23.103.101  138.60ms
104.23.140.176  178.73ms
104.23.108.66  134.56ms
104.23.114.77  151.72ms
104.23.119.193  174.68ms
104.23.132.228  201.99ms
104.23.132.100  177.77ms
104.23.119.240  134.51ms
104.23.131.110  190.54ms
104.23.96.185  173.96ms
104.23.138.60  176.98ms
104.23.104.116  133.37ms
104.23.123.45  141.17ms
104.23.126.247  179.27ms
104.23.97.127  178.38ms
104.23.126.18  176.69ms
104.23.109.240  144.44ms
104.23.105.123  143.96ms
104.23.97.83  182.13ms
104.23.113.14  173.39ms
104.23.129.227  210.23ms
104.23.121.103  207.25ms
104.23.103.126  134.91ms
104.23.112.200  180.01ms
104.23.106.221  143.16ms
104.23.109.72  105.73ms
104.23.131.238  165.09ms
104.23.98.69  180.06ms
104.23.105.35  147.55ms
104.23.129.67  182.06ms
104.23.104.141  180.57ms
104.23.97.40  136.81ms
104.23.140.127  181.87ms
104.23.98.46  181.25ms
104.23.140.117  184.25ms
104.23.102.51  101.65ms
104.23.102.152  118.61ms
104.23.135.3  177.70ms
104.23.99.83  132.94ms
104.23.139.119  136.46ms
104.23.121.126  139.69ms
104.23.109.152  156.63ms
104.23.116.238  135.96ms
104.23.108.96  176.34ms
104.23.102.250  135.00ms
104.23.124.89  145.34ms
104.23.127.139  122.54ms
104.23.133.247  178.73ms
104.23.103.184  179.48ms
104.23.109.148  150.88ms
104.23.113.152  149.19ms
104.23.110.38  142.39ms
104.23.124.25  180.78ms
104.23.132.163  186.32ms
104.23.113.167  137.48ms
104.23.142.79  215.42ms
104.23.141.220  166.96ms
104.23.137.224  186.87ms
104.23.135.26  188.27ms
104.23.98.81  137.57ms
104.23.142.245  181.99ms
104.23.124.141  179.39ms
104.23.106.165  139.90ms
104.23.98.93  136.66ms
104.23.137.217  181.56ms
104.23.101.130  141.20ms
104.23.97.78  151.39ms
104.23.122.30  180.82ms
104.23.141.241  187.63ms
104.23.123.243  138.32ms
104.23.125.143  180.64ms
104.23.98.244  180.64ms
104.23.106.219  176.96ms
104.23.137.47  171.85ms
104.23.111.143  139.57ms
104.23.99.34  150.23ms
104.23.134.255  186.48ms
104.23.108.154  177.69ms
104.23.118.119  179.10ms
104.23.142.168  185.14ms
104.23.133.71  181.31ms
104.23.126.84  181.51ms
104.23.105.76  140.16ms
104.23.116.27  181.75ms
104.23.111.35  178.78ms
104.23.120.96  167.90ms
104.23.143.144  187.10ms
104.23.119.115  142.70ms
104.23.102.142  152.37ms
104.23.123.132  176.36ms
104.23.121.13  177.25ms
104.23.143.60  207.35ms
104.23.104.172  174.70ms
104.23.131.121  192.13ms
104.23.118.75  141.05ms
104.23.109.53  140.94ms
104.23.115.120  172.46ms
104.23.123.35  175.72ms
104.23.98.114  177.57ms
104.23.113.19  135.85ms
104.23.130.27  182.77ms
104.23.123.180  136.31ms
104.23.124.240  177.47ms
104.23.122.137  138.19ms
104.23.121.56  135.80ms
104.23.125.78  178.19ms
104.23.119.163  175.74ms
104.23.109.194  133.92ms
104.23.138.164  173.67ms
104.23.126.61  140.20ms
104.23.142.183  178.56ms
104.23.103.223  155.58ms
104.23.113.229  134.89ms
104.23.96.98  175.65ms
104.23.130.123  186.65ms
104.23.141.145  195.59ms
104.23.105.64  132.86ms
104.23.122.86  140.21ms
104.23.102.233  141.55ms
104.23.101.217  142.75ms
104.23.131.192  188.58ms
104.23.116.78  176.21ms
104.23.103.59  177.01ms
104.23.116.196  179.30ms
104.23.117.130  141.75ms
104.23.141.189  188.23ms
104.23.117.18  138.75ms
104.23.107.138  134.87ms
104.23.99.137  136.98ms
104.23.116.64  139.96ms
104.23.139.105  188.48ms
104.23.122.161  139.15ms
104.23.134.116  173.62ms
104.23.123.49  180.03ms
104.23.130.59  168.47ms
104.23.122.21  136.19ms
104.23.140.8  173.88ms
104.23.138.134  192.40ms
104.23.129.0  180.47ms
104.23.100.53  140.16ms
104.23.107.185  138.34ms
104.23.133.193  177.20ms
104.23.108.30  130.03ms
104.23.130.22  174.31ms
104.23.124.42  182.44ms
104.23.143.174  179.49ms
104.23.112.105  139.20ms
104.23.116.123  141.28ms
104.23.123.70  144.54ms
104.23.139.115  179.95ms
104.23.143.171  184.45ms
104.23.129.156  175.50ms
104.23.143.250  177.17ms
104.23.132.254  157.16ms
104.23.125.61  139.34ms
104.23.126.161  136.74ms
104.23.110.224  178.30ms
104.23.131.117  180.26ms
104.23.105.221  137.42ms
104.23.129.142  166.97ms
104.23.130.94  188.30ms
104.23.114.144  148.54ms
104.23.142.45  192.30ms
104.23.111.241  178.29ms
104.23.143.133  197.34ms
104.23.109.49  136.53ms
104.23.114.148  139.89ms
104.23.112.64  143.13ms
104.23.106.139  177.45ms
104.23.110.93  175.27ms
104.23.104.94  174.07ms
104.23.116.14  132.78ms
104.23.111.54  136.78ms
104.23.102.27  141.93ms
104.23.114.133  178.76ms
104.23.127.248  178.75ms
104.23.143.234  190.01ms
104.23.108.1  138.70ms
104.23.97.34  167.16ms
104.23.113.13  147.94ms
104.23.126.174  176.74ms
104.23.139.215  171.09ms
104.23.129.195  183.00ms
104.23.123.172  181.74ms
104.23.100.48  142.09ms
104.23.130.1  176.26ms
104.23.127.195  178.40ms
104.23.107.119  172.18ms
104.23.109.136  140.58ms
104.23.96.208  133.48ms
104.23.142.147  185.44ms
104.23.127.151  134.77ms
104.23.124.189  141.77ms
104.23.126.54  174.65ms
104.23.128.186  176.45ms
104.23.132.4  187.50ms
104.23.109.47  132.99ms
104.23.103.249  139.17ms
